name,MANGAID,T_11,g_i,LogMassTaylor,LogMassNSA
manga-10001-12701,1-48157,4,0.40496744471492363,9.269490438403304,9.486856770836832
manga-10001-12702,1-48188,4,0.6448647478405327,9.514212829949965,9.727675428416093
manga-10001-12703,1-55648,4,0.7102355576810666,9.94489038409993,10.13651446613351
manga-10001-12704,1-55616,7,0.7664078151170308,9.56190176319337,9.632117012183734
manga-10001-12705,1-55784,4,0.574194415155123,9.977346394485394,10.113518872629513
manga-10001-1901,1-55567,4,0.7923855940897795,9.087182792387065,9.127156651326711
manga-10001-1902,1-48201,-2,1.0763910114315394,10.143073381929863,10.16240906022107
manga-10001-3701,1-48111,-2,0.8614519989039024,9.733604328471143,9.836674701776284
manga-10001-3702,1-48136,-5,0.5360937366904714,9.622487965355797,9.836272199852367
manga-10001-3703,1-55612,3,0.5831241182179596,9.453765185017417,9.573641965438451
manga-10001-3704,1-48223,-5,0.8963373452676322,10.213083311876701,10.338426609928648
manga-10001-6101,1-55683,-5,1.6236708884359778,11.333284495232991,10.89751547976021
manga-10001-6102,1-48116,2,0.89738803991278,10.36078163273786,10.35388354706021
manga-10001-6103,1-48208,0,1.011043862706714,10.540789976222074,10.611680832142287
manga-10001-6104,1-55529,3,1.0922726317149234,11.099154740103305,11.111440631985133
manga-10001-9101,1-48189,7,0.2348650055700645,9.301597716715923,9.3754715676292
manga-10001-9102,1-55552,-2,1.1160201768971199,10.883809969598826,10.854558041696281
manga-10213-12701,1-72673,-5,,,11.122153597617457
manga-10213-12702,1-72610,6,,,9.311828002565155
manga-10213-12703,1-44990,7,0.6763913900994147,9.409010769277202,9.537768739170627
manga-10213-12704,1-72607,-5,,,11.117025899685025
manga-10213-12705,1-72456,4,0.7463159584140904,10.237863657929633,10.374168900317871
manga-10213-1901,1-72595,0,,,10.339944090983794
manga-10213-1902,1-122611,5,0.5787772638963595,10.4499956791754,10.623041399718037
manga-10213-3701,1-72733,-2,,,11.274033087185169
manga-10213-3702,1-44971,-2,1.1863711438313835,11.383674977749129,11.232162277746674
manga-10213-3703,1-72755,5,,,9.324710364098776
manga-10213-3704,1-72719,-5,,,11.392373309682428
manga-10213-6101,1-44590,-2,,,10.922140816638953
manga-10213-6102,1-72572,1,1.0427876483826743,10.729894260313625,10.709138465202136
manga-10213-6103,1-44581,2,0.9907387137724477,10.622071711871769,10.676612228929196
manga-10213-6104,1-72562,-2,1.020876111911452,10.997981957566891,11.009178845374386
manga-10213-9101,1-44999,4,,,10.049671468495342
manga-10213-9102,1-72706,4,0.43794460337117513,8.559169225963359,8.689909705799584
manga-10214-12701,1-604985,4,0.7371435850271624,9.915526558189303,10.029091443779619
manga-10214-12702,1-548430,-5,0.9281523118020552,10.793611162427512,10.913179955599755
manga-10214-12703,1-153608,2,1.0367972138313846,10.842687614749131,10.884937463143872
manga-10214-12704,1-605051,-2,0.8502759189250355,11.274402778611545,11.379055204966683
manga-10214-12705,1-548428,-2,0.7773293324263442,10.794591508303318,10.999717182225103
manga-10214-1901,1-153518,3,1.058499365167858,10.92449867202745,10.925928537643083
manga-10214-1902,1-153402,-2,0.8780237109816262,9.438363521560408,9.54579928535667
manga-10214-3702,1-153317,0,0.9869590393521328,10.434916787917352,10.461635066470727
manga-10214-3703,1-153696,-5,1.114689110820823,11.240633548378934,11.173183353674426
manga-10214-3704,1-136508,-5,0.9980374714254125,10.613195557423255,10.65957965778917
manga-10214-6101,1-153412,3,0.47613463753508256,9.077421244816524,9.323631555183054
manga-10214-6102,1-136426,-5,0.9772617530854433,10.445001234681188,10.517013693659768
manga-10214-6103,1-153360,6,0.36450503425187364,8.992883174999724,9.267134166174838
manga-10214-6104,1-153723,3,0.5074071579684905,9.173784844246054,9.41838747861846
manga-10214-9101,1-153357,-5,0.876012306968704,10.637559353001237,10.76200146688339
manga-10214-9102,1-153556,2,0.9638877939379462,11.249473213270706,11.251983572267264
manga-10215-12701,1-122111,3,0.9102556214317161,10.755985757645812,10.763725907228034
manga-10215-12702,1-121959,5,0.4990128310347117,9.60583923758505,9.838573950428419
manga-10215-12703,1-121923,7,0.2874332122826324,9.221141566230257,9.464380736627728
manga-10215-12704,1-605093,0,0.8107703046824781,10.441545101029753,10.545511224021265
manga-10215-12705,1-153693,4,0.5209324761292855,10.449423985267057,10.634077051216467
manga-10215-1901,1-122310,0,0.6896193019114527,9.082467986566893,9.313356729854231
manga-10215-1902,1-153901,1,0.5509090251171251,9.466650137091776,9.65935895745848
