MaNGAID,OBJRA,OBJDEC
1-1009,149.647481331,0.7427726376
1-10166,199.2955574,0.913561334
1-10177,199.460009291,0.34998996525
1-10263,200.400259414,0.573031983277
1-1033,149.707718089,0.836657711419
1-1037,149.657311739,0.870762819465
1-10375,202.924176092,-0.466036685729
1-1038,150.101545948,0.704575815478
1-10425,201.442019476,-0.914642891419
1-10550,200.6611155,1.17568528896
1-106204,336.514250063,1.20468296253
1-106251,340.021758057,-0.80773151136
1-106338,339.669419147,0.100983055439
1-106408,340.714913429,0.865580009823
1-106411,340.544726747,0.690932310738
1-106520,342.929836046,0.415276453685
1-106630,346.67224439,-0.851836934787
1-106663,347.324231618,0.0644395785777
1-106664,347.261970695,0.266957418144
1-106670,347.345531209,1.00060002603
1-106961,353.444468017,-0.66622363895
1-107040,355.280240908,0.0952352023068
1-107452,6.04524880291,-1.02032384366
1-107505,4.92822666882,0.102630339224
1-107573,6.91753,0.5161
1-10760,203.911524323,-0.920043478671
1-107659,9.11575087486,0.577002475521
1-107761,10.1981233273,0.621880632666
1-107835,14.1637312846,-1.0770352909
1-107841,14.3422951156,-0.428793112279
1-107844,14.3651067206,-0.471576861665
1-10786,204.088635593,-0.460524329759
1-107935,14.0174249395,0.261008421553
1-10794,203.589586354,-0.741650440178
1-10797,203.732821921,-0.174215238092
1-10808,203.752677252,-0.447620213353
1-108080,17.6509664632,-0.468369701747
1-1081,149.994877082,1.05497529729
1-108124,16.8275058782,0.934323126945
1-108143,17.5588928233,0.365933355647
1-108250,18.7598365173,0.307445048109
1-108257,18.8231951281,0.165288338297
1-10850,202.579541401,-0.870677025388
1-10856,202.632185668,-0.734217754
1-10862,202.452445206,-0.294176769541
1-108696,30.6580468389,-1.09908513268
1-108698,30.8234544247,-1.00135903301
1-108741,29.7486076233,0.908496429957
1-108765,30.8167961786,0.298830588268
1-108881,33.2316,-0.46726
1-108949,35.418845091,0.255233152292
1-109056,39.4465871047,0.405085157798
1-109073,42.1567757009,-0.554292603774
1-109081,41.694639931,-0.728826852116
1-109112,41.3609282489,0.91013274057
1-109152,43.7904849573,-0.177861101978
1-109167,42.2169259383,-0.524053160567
1-109206,46.3410404009,-0.382339878308
1-109223,45.2148475708,0.807398968541
1-109234,45.9974263376,0.426382098814
1-109244,47.9994154757,-1.16166126075
1-109250,47.7852584272,-1.05434100442
1-109270,46.6858583566,-0.40880014755
1-109275,46.070671944,0.51988598971
1-109284,47.435601121,0.879380568919
1-1093,150.31881552,0.120871771315
1-109308,49.9495621925,-0.22114540619
1-109356,50.0738407878,0.523632230733
1-109378,51.1699181501,-0.681472614144
1-109392,50.9223379075,-0.117034141997
1-109394,50.179936141,-1.0022917898
1-109419,51.22895826,0.605956492656
1-109428,54.602285942,-0.0185818400418
1-109493,56.4251416467,-0.378460418812
1-109521,54.5970661097,-1.18410023556
1-109679,328.73606667,-9.3024261469
1-109808,329.242290245,-6.91925217856
1-109817,329.120653445,-7.75446574172
1-109836,329.320132248,-7.25543383131
1-109849,329.255111667,-7.90423704127
1-109860,329.372617128,-7.79571570952
1-109872,329.541860019,-7.80037312434
1-109909,329.710729464,-7.66084267855
1-109934,329.862723834,-7.7830474748
1-110095,329.531280868,-7.92928264415
1-110133,330.002793236,-7.23478588103
1-110139,329.388791032,-7.73905917162
1-110165,329.609519049,-7.36499668312
1-113,145.681110296,-0.867232790375
1-113208,317.504479435,9.86822191739
1-113219,317.374745914,10.0519434342
1-113242,316.709484212,9.19736898687
1-113265,316.490913324,9.15532109335
1-113273,316.131761556,9.90548458024
1-113292,316.043643235,8.99511499267
1-113315,315.503123061,10.3769516613
1-113322,315.533514754,11.0751131018
1-113343,315.932391774,10.8875738203
1-113346,315.85387762,10.8770313048
1-113368,315.831306013,10.944169029
1-113375,316.639658795,10.7512221884
1-113379,316.541566803,10.3454195236
1-113403,316.964281103,11.2623177305
1-113404,316.882256606,10.9772086203
1-113405,316.841308073,11.0664208661
1-113418,319.353761201,10.2316206875
1-113468,317.918280237,9.34565198917
1-113469,317.943526819,9.27749462963
1-113476,317.568825378,10.4088108392
1-113518,316.728514291,10.8067838685
1-113520,317.502202242,11.5106477077
1-113521,317.388736588,11.5029226993
1-113525,317.430068351,11.3552406345
1-113539,317.979595193,11.3794496273
1-113540,317.903201533,11.4969433994
1-113551,317.822924346,10.4825883796
1-113567,318.026426419,11.3451572409
1-113585,319.11342841,10.7676202056
1-113587,319.273361936,11.1201347053
1-113647,319.814830226,10.070628454
1-113651,319.233949063,9.63757525774
1-113654,319.271463809,9.9723035679
1-113663,318.804558778,9.91312455151
1-113668,318.827736002,10.4968107833
1-113672,318.862286217,9.75781705378
1-113675,318.775640877,10.0984558649
1-113698,319.194045241,11.5400106533
1-113700,319.451824118,11.6605961542
1-113789,322.691801536,10.6243260663
1-114035,322.294288912,11.7187303015
1-114059,322.828842369,11.5653492247
1-114063,322.78229762,11.474054182
1-114073,324.895915071,11.2049630634
1-114082,324.152525127,10.5067325085
1-114093,324.299101971,10.6637929164
1-114098,323.819317898,10.2967224879
1-114121,323.466394588,10.0718531123
1-114124,323.475873493,10.4803515458
1-114128,323.470604621,10.4397349551
1-114129,323.521211519,10.4218555682
1-114145,323.577092837,11.2143239831
1-114147,323.764605121,10.9603846391
1-114171,323.296326308,10.6442039273
1-114214,322.327484037,11.2009799461
1-114230,322.242776107,11.3665010958
1-114235,323.105171694,12.5476178924
1-114245,322.90647621,11.8316571784
1-114252,322.93337185,11.3812005769
1-114253,322.892947692,11.6539824015
1-114292,323.33666397,11.5934174348
1-114303,323.65768,11.42181
1-114306,323.742750886,11.296528361
1-114316,323.932154836,11.6507729216
1-114325,324.094963475,12.2363038289
1-114334,324.259707865,11.9062032693
1-114454,324.586417578,11.3486728499
1-114465,324.89155826,10.4834807378
1-114500,324.548678082,12.1942577854
1-114502,324.799320383,11.9393222318
1-114532,325.161350811,11.7227434323
1-114782,330.67636652,11.4446548349
1-114818,330.337232216,12.196692699
1-114820,330.423500416,11.8567879995
1-114845,329.64706335,11.9104882663
1-114919,330.881270692,12.6260022347
1-114923,330.983076998,12.4687815255
1-114928,331.080925269,12.9683778244
1-114955,332.602089837,11.7130772993
1-114956,332.798726703,11.8007324019
1-114973,332.238573881,11.8776065621
1-114980,332.83066426,12.1847175842
1-114998,332.756351306,12.3743026872
1-115062,330.855372733,12.6758983985
1-115066,330.976750979,12.6642469019
1-115085,331.802634213,13.2660525434
1-115097,332.203447059,13.3647373417
1-1151,151.699917385,-0.503646734905
1-115128,332.481316937,12.8180504327
1-115158,333.339612109,13.4364824869
1-115162,333.201842347,13.334120927
1-115232,334.553074094,12.8353142957
1-115254,334.353436615,12.5229920972
1-115262,334.060493665,12.3955245423
1-115274,333.978195184,12.6151916912
1-115275,333.863494923,12.9175093175
1-115277,333.97282579,12.7245811567
1-115317,333.627651366,13.0791900239
1-115320,333.052045245,12.205190661
1-115334,333.172171227,14.0761992722
1-115335,332.955126908,13.9676412448
1-115341,333.152578186,13.8555699976
1-115345,333.443869207,13.790774462
1-115346,333.402094239,13.6724598938
1-115353,333.393081155,14.1089672928
1-115354,333.343965404,14.0070573057
1-115355,333.326127251,13.8244277883
1-115357,333.314580968,13.9838346746
1-115358,333.542752262,13.2788622583
1-115360,333.603384227,13.7759632727
1-115365,333.483204009,13.755395826
1-115366,333.518524068,13.767000362
1-115367,333.703279003,13.8335362186
1-115371,333.656024818,13.874743128
1-115376,333.648863378,13.9729975971
1-115377,333.590721449,13.9531257033
1-115380,333.714150086,13.7152585248
1-115386,333.74114049,13.7619168683
1-115388,333.622475603,13.490913336
1-115394,333.866419449,13.8539769059
1-115398,333.969214314,14.0794360744
1-115399,333.959624869,14.1155666805
1-115401,333.918183568,13.8821337941
1-115403,333.791087605,14.0417736019
1-115405,333.926307103,13.8154452885
1-115415,333.788914741,13.8037127956
1-115417,333.87617239,13.6732062698
1-115418,333.919137215,13.6047393057
1-115427,334.002136705,13.1477701289
1-115435,334.241505868,13.5430726487
1-115437,334.218347273,13.4259577625
1-115650,334.747533444,13.1874809788
1-115798,338.874296888,12.4171277136
1-115851,338.719576888,13.2775714718
1-115863,338.192251432,12.7310382011
1-115875,338.410077258,13.2121265666
1-116022,337.668256288,13.9801268823
1-116035,338.085605685,13.9310148508
